53.904171,-1.364825,612
53.906166,-1.370485,1788
53.905766,-1.357668,2421
53.90411,-1.33995,3129
53.904339,-1.321466,3952
53.905136,-1.302273,4755
53.906223,-1.275903,5509
53.9091,-1.243781,6242
53.918507,-1.194216,7074
53.933533,-1.141628,7743
53.950699,-1.090998,8397
53.972385,-1.033426,9084
53.996521,-0.975211,9803
54.025364,-0.907016,10648
54.057846,-0.839316,11436
54.093113,-0.76944,12337
54.109772,-0.722741,13055
54.119953,-0.683426,13837
54.127899,-0.642285,14686
54.133362,-0.609721,15463
54.134361,-0.583865,16304
54.139614,-0.56166,17066
54.141079,-0.54869,17850
54.143616,-0.539558,18690
54.14682,-0.530491,19526
54.147259,-0.528185,20365
54.153744,-0.53535,21256
54.158588,-0.545626,22333
54.15712,-0.550633,23219
54.153324,-0.561871,24079
54.153286,-0.587213,25075
54.152203,-0.621995,26121
54.154251,-0.652996,27111
54.157204,-0.69436,28089
54.168003,-0.733395,29090
54.175671,-0.776701,30093
54.18882,-0.813575,31148
54.192726,-0.855746,32289
54.195118,-0.902631,33326
54.199265,-0.944318,34326
54.204494,-1.003145,35482
54.205566,-1.054961,36617
54.205296,-1.136805,38151
54.212711,-1.21648,25002
54.214474,-1.225326,19121
54.220448,-1.192136,13880
54.246582,-1.129031,10258
54.272335,-1.046416,7081
54.280312,-1.004623,4621
54.289009,-0.965655,1560
